Instance;GIPS Preprocessing Time Mean;GIPS Preprocessing Time StdDev;MZ Preprocessing Time Mean;MZ Preprocessing Time StdDev;Preprocessing Time R;Preprocessing Time R Mean;Preprocessing Time R StdDev;GIPS Build Time Mean;GIPS Build Time StdDev;MZ Build Time Mean;MZ Build Time StdDev;Build Time R;Build Time R Mean;Build Time R StdDev;GIPS Constraints;MZ Constraints;Constraints R;Constraints R Mean;Constraints R StdDev;GIPS Variables;MZ Variables;Variables R;Variables R Mean;Variables R StdDev;GIPS NonZeros;MZ NonZeros;NonZeros R;NonZeros R Mean;NonZeros R StdDev;GIPS Presolve Time Mean;GIPS Presolve Time StdDev;MZ Presolve Time Mean;MZ Presolve Time StdDev;Presolve Time R;Presolve Time R Mean;Presolve Time R StdDev;GIPS Constraints Presolved Mean;GIPS Constraints Presolved StdDev;MZ Constraints Presolved Mean;MZ Constraints Presolved StdDev;Constraints Presolved R;Constraints Presolved R Mean;Constraints Presolved R StdDev;GIPS Variables Presolved Mean;GIPS Variables Presolved StdDev;MZ Variables Presolved Mean;MZ Variables Presolved StdDev;Variables Presolved R;Variables Presolved R Mean;Variables Presolved R StdDev;GIPS NonZeros Presolved Mean;GIPS NonZeros Presolved StdDev;MZ NonZeros Presolved Mean;MZ NonZeros Presolved StdDev;NonZeros Presolved R;NonZeros Presolved R Mean;NonZeros Presolved R StdDev
i22;11.4766;0.0967;0.2027;0.0147;56.6186;;;--;--;2041.6033;689.8681;--;;;--;7835323.00;--;;;--;9214631.00;--;;;--;33537629.00;--;;;--;--;10.2267;0.4479;--;;;--;--;1857266.00;540.9368;--;;;--;--;7966244.6667;199790.4283;--;;;--;--;28449289.3333;728444.9068;--;;
i23;10.5782;0.1538;0.2253;0.0366;46.9516;;;419.7626;0.00;3387.6033;1197.6043;0.1239;;;35001665.00;13210138.00;2.6496;;;17739497.00;15018178.00;1.1812;;;153236524.00;55296173.00;2.7712;;;--;--;23.83;10.1682;--;;;--;--;2660593.3333;11758.243;--;;;--;--;12782037.00;785950.6015;--;;;--;--;46289163.00;2900102.2965;--;;
i24;17.4354;0.0858;0.2083;0.0109;83.7033;;;--;--;3273.8833;28.3976;--;;;--;17332709.00;--;;;--;19819382.00;--;;;--;70638367.00;--;;;--;--;21.3533;0.0236;--;;;--;--;3349982.6667;0.4714;--;;;--;--;16351558.6667;0.4714;--;;;--;--;58361158.3333;0.9428;--;;
i25;5.0199;0.1119;0.21;0.0071;23.9043;;;215.2227;1.8658;1235.17;433.1454;0.1742;;;18395625.00;4983068.00;3.6916;;;9363321.00;5723695.00;1.6359;;;80776962.00;20057740.00;4.0272;;;615.1833;0.3866;6.1467;0.3633;100.0835;;;15297299.00;0.00;1179469.3333;470.4617;12.9696;;;8122669.00;0.00;4970091.3333;1036.1471;1.6343;;;--;--;17407226.6667;3506.3068;--;;
i26;15.6411;0.0324;0.1937;0.0033;80.7491;;;--;--;4321.6133;2051.0968;--;;;--;14886229.00;--;;;--;17085138.00;--;;;--;62562124.00;--;;;--;--;26.3433;10.576;--;;;--;--;2919540.6667;2314.5962;--;;;--;--;14778437.6667;686611.5268;--;;;--;--;53440848.3333;2626817.3107;--;;
i27;17.851;0.0342;0.2123;0.0121;84.0838;;;--;--;3219.4233;37.4532;--;;;--;17292649.00;--;;;--;19614293.00;--;;;--;73070806.00;--;;;--;--;21.54;0.2255;--;;;--;--;3246267.00;0.00;--;;;--;--;16653115.00;0.00;--;;;--;--;60665366.00;0.00;--;;
i28;8.2203;0.1498;0.216;0.0036;38.0569;;;324.4948;1.5985;1951.7067;632.3467;0.1663;;;27534270.00;7671490.00;3.5892;;;13985830.00;9025252.00;1.5496;;;120115393.00;31369128.00;3.8291;;;--;--;10.6133;0.2034;--;;;--;--;1745131.6667;5446.6078;--;;;--;--;7918321.3333;473879.3945;--;;;--;--;27681387.6667;1680293.1301;--;;
i29;5.6684;0.0565;0.1937;0.0144;29.2638;;;224.9156;2.5787;1442.5733;493.378;0.1559;;;19256999.00;5841522.00;3.2966;;;9879598.00;6725215.00;1.469;;;85217192.00;23349751.00;3.6496;;;676.0433;49.0844;7.35;0.2566;91.9787;;;15968095.00;1.4142;1331926.3333;1504.2518;11.9887;;;8633531.6667;0.4714;5837249.6667;4834.2534;1.479;;;75600326.00;0.00;20269897.6667;18601.6224;3.7297;;
i30;8.5441;0.1725;0.189;0.0008;45.2069;;;306.8368;0.8414;2071.6133;676.9689;0.1481;;;26803741.00;8090423.00;3.313;;;13649936.00;9505619.00;1.436;;;116243195.00;33335029.00;3.4871;;;--;--;10.99;0.4121;--;;;--;--;1833839.00;1233.1942;--;;;--;--;8411025.00;530634.1418;--;;;--;--;29527464.6667;1909974.1405;--;;
final;;;;;;25.0986;25.3078;;;;;;0.1105;0.026;;;;3.2919;0.479;;;;1.4186;0.221;;;;3.1496;0.6156;;;;;;16.7283;30.0996;;;;;;8.8078;2.881;;;;;;1.2492;0.2639;;;;;;3.056;0.6537
