model;version;instance;run;memoryMB;preprocessingTimeS;compileTimePassOneS;compileTimePassTwoS;totalCompileTimeS;compileOptimized;presolveTimeS;originalConstraints;originalVariables;originalCoefficients;presolvedConstraints;presolvedVariables;presolvedCoefficients;numberOfSolutions;bestObjective;bestBound;mipGap;isSolutionValid;objectiveByValidator;isCrashedCompile;isCrashedSolve
AllConstraints;v4;i22;5;69793;0.19;973.68;3,017.22;3,017.22;true;10.86;7616671;8694578;32236111;1856501;8248791;29479466;0;;25,135.00;;;;false;false
AllConstraints;v4;i22;6;33376;0.22;1,551.34;0.00;1,551.34;false;9.90;7835323;9214631;33537629;1857649;7824972;27934202;0;;25,118.00;;;;false;false
AllConstraints;v4;i22;7;33376;0.20;1,556.25;0.00;1,556.25;false;9.92;7835323;9214631;33537629;1857648;7824971;27934200;0;;25,108.00;;;;false;false
AllConstraints;v4;i23;5;116534;0.28;1,630.05;5,081.25;5,081.25;true;38.21;12939695;14400534;53760445;2677222;13893539;50390527;0;;;;;;false;true
AllConstraints;v4;i23;6;50606;0.21;2,533.38;0.00;2,533.38;false;16.60;13210138;15018178;55296173;2652279;12226286;44238481;0;;205.00;;;;false;false
AllConstraints;v4;i23;7;50606;0.19;2,548.18;0.00;2,548.18;false;16.68;13210138;15018178;55296173;2652279;12226286;44238481;0;;205.00;;;;false;false
AllConstraints;v4;i24;5;0;0.22;2,168.13;0.00;2,168.13;false;;;;;;;;0;;;;;;true;true
AllConstraints;v4;i24;6;70379;0.21;3,305.18;0.00;3,305.18;false;21.32;17332709;19819382;70638367;3349983;16351559;58361159;0;;;;;;false;true
AllConstraints;v4;i24;7;70379;0.22;3,280.03;0.00;3,280.03;false;21.37;17332709;19819382;70638367;3349982;16351558;58361157;0;;;;;;false;true
AllConstraints;v4;i24;8;70379;0.19;3,236.44;0.00;3,236.44;false;21.37;17332709;19819382;70638367;3349983;16351559;58361159;0;;;;;;false;true
AllConstraints;v4;i25;5;42259;0.20;586.05;1,847.73;1,847.73;true;6.66;4935213;5601343;19751633;1178804;4968626;17402268;1;124,557.00;4,488.00;0.96;true;33876;false;false
AllConstraints;v4;i25;6;20747;0.22;928.69;0.00;928.69;false;5.87;4983068;5723695;20057740;1179802;4970824;17409706;1;123,645.00;4,488.00;0.96;true;32899;false;false
AllConstraints;v4;i25;7;20747;0.21;929.09;0.00;929.09;false;5.91;4983068;5723695;20057740;1179802;4970824;17409706;1;123,645.00;4,488.00;0.96;true;32899;false;false
AllConstraints;v4;i26;5;132551;0.19;1,853.49;7,222.27;7,222.27;true;41.30;14603030;16429990;60941213;2922814;15749453;57155729;0;;;;;;false;true
