model;version;instance;run;memoryMB;preprocessingTimeS;compileTimePassOneS;compileTimePassTwoS;totalCompileTimeS;compileOptimized;presolveTimeS;originalConstraints;originalVariables;originalCoefficients;presolvedConstraints;presolvedVariables;presolvedCoefficients;numberOfSolutions;bestObjective;bestBound;mipGap;isSolutionValid;objectiveByValidator;isCrashedCompile;isCrashedSolve
AllConstraints;v4;i17;5;56517;0.194;749.21;2322.80;2322.80;true;19.76;6084632;6909606;26612543;1516978;6495540;23724915;0;;17640.00;;;;false;false
AllConstraints;v4;i17;6;56517;0.202;741.90;2299.44;2299.44;true;19.50;6084632;6909606;26612543;1516978;6495540;23724915;0;;17640.00;;;;false;false
AllConstraints;v4;i17;7;56517;0.223;747.06;2313.47;2313.47;true;19.90;6084632;6909606;26612543;1516978;6495540;23724915;0;;17640.00;;;;false;false
AllConstraints;v4;i18;5;30023;0.191;423.39;1328.36;1328.36;true;11.26;3483770;4016814;14557648;792748;3622311;12933761;1;110593.00;35983.00;0.6746;true;57973;false;false
AllConstraints;v4;i18;6;30023;0.19;421.96;1326.65;1326.65;true;11.32;3483770;4016814;14557648;792749;3622295;12933729;1;114647.00;35983.00;0.6861;true;61334;false;false
AllConstraints;v4;i18;7;30023;0.19;421.06;1324.13;1324.13;true;11.35;3483770;4016814;14557648;792749;3622312;12933763;1;113550.00;35983.00;0.6831;true;60145;false;false
AllConstraints;v4;i19;5;101644;0.257;1461.90;4603.25;4603.25;true;15.92;11907324;13306054;50241369;2467255;11700076;42549132;0;;;;;;false;true
AllConstraints;v4;i19;6;101644;0.216;1448.56;4556.34;4556.34;true;16.25;11907324;13306054;50241369;2467255;11700076;42549132;0;;;;;;false;true
AllConstraints;v4;i19;7;101644;0.237;1459.11;4579.20;4579.20;true;15.55;11907324;13306054;50241369;2467255;11700076;42549132;0;;;;;;false;true
AllConstraints;v4;i20;5;9089;0.199;131.50;396.47;396.47;true;50.71;991525;1232710;4197988;236646;1048237;3406636;0;;20598.00;;;;false;false
AllConstraints;v4;i20;6;9089;0.227;130.97;395.60;395.60;true;51.04;991525;1232710;4197988;236646;1048237;3406636;0;;20598.00;;;;false;false
AllConstraints;v4;i20;7;9089;0.199;130.13;393.12;393.12;true;50.28;991525;1232710;4197988;236493;1048230;3407523;10;46082.00;20304.00;0.5594;true;46079;false;false
AllConstraints;v4;i21;5;48266;0.185;618.25;1903.25;1903.25;true;16.00;5091564;5817785;21519529;1218379;5218413;18794576;1;252798.00;10177.00;0.9597;true;67140;false;false
AllConstraints;v4;i21;6;48266;0.203;626.22;1929.17;1929.17;true;16.33;5091564;5817785;21519529;1218388;5218440;18794630;1;247151.00;8219.00;0.9667;true;64297;false;false
AllConstraints;v4;i21;7;48266;0.181;620.85;1911.76;1911.76;true;15.94;5091564;5817785;21519529;1218388;5218440;18794630;1;247151.00;8219.00;0.9667;true;64297;false;false
AllConstraints;v4;i22;5;69793;0.189;973.68;3017.22;3017.22;true;10.86;7616671;8694578;32236111;1856501;8248791;29479466;0;;25135.00;;;;false;false
AllConstraints;v4;i22;6;33376;0.223;1551.34;-1.00;1551.34;false;9.90;7835323;9214631;33537629;1857649;7824972;27934202;0;;25118.00;;;;false;false
AllConstraints;v4;i22;7;33376;0.196;1556.25;-1.00;1556.25;false;9.92;7835323;9214631;33537629;1857648;7824971;27934200;0;;25108.00;;;;false;false
AllConstraints;v4;i23;5;116534;0.276;1630.05;5081.25;5081.25;true;38.21;12939695;14400534;53760445;2677222;13893539;50390527;0;;;;;;false;true
AllConstraints;v4;i23;6;50606;0.209;2533.38;-1.00;2533.38;false;16.60;13210138;15018178;55296173;2652279;12226286;44238481;0;;205.00;;;;false;false
AllConstraints;v4;i23;7;50606;0.191;2548.18;-1.00;2548.18;false;16.68;13210138;15018178;55296173;2652279;12226286;44238481;0;;205.00;;;;false;false
AllConstraints;v4;i24;5;0;0.224;2168.13;-1.00;2168.13;false;;;;;;;;0;;;;;;true;true
AllConstraints;v4;i24;6;70379;0.215;3305.18;-1.00;3305.18;false;21.32;17332709;19819382;70638367;3349983;16351559;58361159;0;;;;;;false;true
AllConstraints;v4;i24;7;70379;0.217;3280.03;-1.00;3280.03;false;21.37;17332709;19819382;70638367;3349982;16351558;58361157;0;;;;;;false;true
AllConstraints;v4;i24;8;70379;0.193;3236.44;-1.00;3236.44;false;21.37;17332709;19819382;70638367;3349983;16351559;58361159;0;;;;;;false;true
AllConstraints;v4;i25;5;42259;0.204;586.05;1847.73;1847.73;true;6.66;4935213;5601343;19751633;1178804;4968626;17402268;1;124557.00;4488.00;0.964;true;33876;false;false
AllConstraints;v4;i25;6;20747;0.22;928.69;-1.00;928.69;false;5.87;4983068;5723695;20057740;1179802;4970824;17409706;1;123645.00;4488.00;0.9637;true;32899;false;false
AllConstraints;v4;i25;7;20747;0.206;929.09;-1.00;929.09;false;5.91;4983068;5723695;20057740;1179802;4970824;17409706;1;123645.00;4488.00;0.9637;true;32899;false;false
