name,runtime_preproc_mean,runtime_preproc_stddev,runtime_gips_init_mean,runtime_gips_init_stddev,gurobi_model_rows_mean,gurobi_model_rows_stddev,gurobi_model_cols_mean,gurobi_model_cols_stddev,gurobi_model_nonzeros_mean,gurobi_model_nonzeros_stddev,guobi_solution_count_mean,gurobi_solution_count_stddev,gurobi_best_objective_mean,gurobi_best_objective_stddev,gurobi_best_bound_mean,gurobi_best_bound_stddev,gurobi_mip_mean,gurobi_mip_stddev,observer_runtime_model_load_mean,observer_runtime_model_load_stddev,observer_runtime_preproc_mean,observer_runtime_preproc_stddev,observer_runtime_init_gips_mean,observer_runtime_init_gips_stddev,observer_runtime_pm_mean,observer_runtime_pm_stddev,observer_runtime_build_gips_mean,observer_runtime_build_gips_stddev,observer_runtime_build_solver_mean,observer_runtime_build_solver_stddev,observer_runtime_build_mean,observer_runtime_build_stddev,observer_runtime_solve_problem_mean,observer_runtime_solve_problem_stddev,observer_runtime_solution_application_mean,observer_runtime_solution_application_stddev,observer_runtime_gips_save_mean,observer_runtime_gips_save_stddev,observer_runtime_model_validate_mean,observer_runtime_model_validate_stddev,observer_runtime_postproc_mean,observer_runtime_postproc_stddev,observer_runtime_export_mean,observer_runtime_export_stddev,observer_runtime_total_mean,observer_runtime_total_stddev
i11.json,1.565527112,0.054967570736258894,3.039157523666667,0.04198134173112588,2901465.0,0.0,1470020.0,0.0,1.1815901E7,0.0,10.0,0.0,28531.666666666668,788.1718650706133,25215.666666666668,13.021349989749739,11.553166666666668,2.499273928341767,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.609147236333333,0.20169545827162447,9.328281560666667,0.14218649759601065,10.211105963000001,0.16759765206880703,33.149869935666665,0.34919093724468203,8768.623033404334,1248.2732583645081,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i12.json,1.309697439,0.03924402372761237,2.7449118986666665,0.055818651738898446,1847823.0,0.0,944509.0,0.0,7341060.0,0.0,7.0,4.242640687119285,2285567.3333333335,3206870.594442535,6622.333333333333,37.56180092712394,75.25426666666667,17.52959861611846,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.559370806333334,0.209122505985854,6.3867568656666664,0.20785657032206228,6.533289888,0.17566161205961572,21.480901438333333,0.5855269874587129,7201.460770825666,0.28254922350511746,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i13.json,1.3854959556666666,0.08418763963923921,2.707430588333333,0.012792180379765037,1621810.0,0.0,847019.0,0.0,6464156.0,0.0,10.0,0.0,24458.666666666668,335.4820743679492,13079.0,23.338094752285727,46.51666666666667,0.6941107756611266,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.171143995,0.3081477528468688,5.238700954,0.07047282465140779,5.797462876,0.10816935952511703,18.208703506000003,0.38320934811423446,7201.006909222334,0.18528675446787796,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i14.json,1.866513107,0.15112188634393633,3.2370485653333336,0.04481783772975036,4241975.0,0.0,2157884.0,0.0,1.8017188E7,0.0,0.6666666666666666,0.4714045207910317,1.45492195E7,1070.5,5034.0,0.0,99.9654,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.1771481795,1.266012871500001,14.222602568,0.08896461699999936,15.089070909,0.09402658800000019,48.490126475,1.260941251000002,7203.1876459305,0.05300623850007469,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i15.json,1.9777462523333333,0.08922305390976909,3.431814325,0.01025007797371523,3749900.0,0.0,1928981.0,0.0,1.571728E7,0.0,4.0,4.242640687119285,1.6407762E7,1.1577688659157693E7,6426.333333333333,1.247219128924647,93.8645,8.639925628152133,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.73228299333333,0.28613249044014266,12.207624791333332,0.3973432378158954,13.241483480666668,0.2772040022246216,42.182825255666664,0.6610044189003711,7203.119410435666,0.2128743465210449,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i16.json,1.6150989763333332,0.03886834374378326,3.209696853,0.030570888476651237,3304908.0,0.0,1684642.0,0.0,1.3663492E7,0.0,0.0,0.0,-1.0,-1.0,5655.0,1.4142135623730951,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i17.json,9.822431948333334,0.17479899958432688,10.923593525,0.18185150629337107,2.6095872E7,0.0,1.3258694E7,0.0,1.094462E8,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i18.json,3.641583444333333,0.17300608179184096,5.267785482333333,0.07451611991835327,9281278.0,0.0,4708224.0,0.0,3.9139673E7,0.0,1.0,0.0,5.1020528333333336E7,486.63493047206913,4690.333333333333,328.3253806143466,99.9908,6.5319726474646E-4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.59956424733333,0.39438569674222423,29.043369464999998,1.047513707981667,33.335900121,0.3446995845342659,104.98024651266667,1.0015517183046019,7213.425508761,5.135719835946457,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i19.json,11.829709031666667,0.12010110555836502,12.219879642666667,0.5089572598636734,3.7498644E7,0.0,1.9087207E7,0.0,1.64352455E8,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
i20.json,1.9461720936666669,0.09067411830890108,3.3213859696666668,0.1308732723795569,3124066.0,0.0,1607766.0,0.0,1.2921916E7,0.0,0.0,0.0,-1.0,-1.0,23513.0,187.40508708854907,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
